checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,2499986166,404826004.590308,0.247020,1000000,8,8,cyclic,8,8,50000000,50000000,969165669.407532,0.103182,1.026479,97420442.725994,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62293582.240090,1.605302,1000000,8,8,block,8,8,50000000,50000000,158751964.650915,0.629913,3.794910,26351085.783977,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,376813335.734476,0.265383,1000000,8,8,cyclic,8,8,50000000,50000000,855502843.342616,0.116890,1.084948,92170348.314188,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43905692.652600,2.277609,1000000,8,8,block,8,8,50000000,50000000,156783406.983767,0.637823,4.469114,22375801.268593,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,131090358.410984,0.762833,1000000,8,8,cyclic,8,8,50000000,50000000,412270181.668877,0.242559,1.861708,53714125.196927,false
6185417096973469475,16931092769743058723,uniform,2499986166,66233161.918528,1.509818,1000000,1,1,block,1,1,50000000,50000000,52286963.543673,1.912523,9.554601,10466161.666650,false
6185417096973469475,16931092769743058723,uniform,2499986166,66357775.272193,1.506982,1000000,1,1,cyclic,1,1,50000000,50000000,52214442.986601,1.915179,8.247388,12125051.377918,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,57181926.095059,1.748804,1000000,1,1,block,1,1,50000000,50000000,89241809.510113,1.120551,9.499528,10526838.437534,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,56099303.115070,1.782553,1000000,1,1,cyclic,1,1,50000000,50000000,89297352.499918,1.119854,7.729809,12936930.930979,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43405438.186456,2.303859,1000000,1,1,block,1,1,50000000,50000000,125601788.220926,0.796167,9.725558,10282186.208442,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,41840589.524745,2.390024,1000000,1,1,cyclic,1,1,50000000,50000000,126123029.619671,0.792877,8.007190,12488776.392221,false
